"age","income","employment_years","debt","credit_history_years","num_open_accounts","num_delinquencies","has_mortgage","has_car_loan","has_credit_card","loan_amount","loan_to_income","loan_purpose","employment_status","region"
"22","84959.0","2","10538.03","4","5","0","1","1","1","39634.15","0.467","education","unemployed","east"
"58","54949.65","23","2782.59","41","9","1","1","1","1","22798.91","0.415","auto","self_employed","south"
"52","67269.09","23","21374.68","35","1","0","1","0","0","9958.14","0.148","home_improvement","employed","west"
"40","15000.0","3","16365.59","23","9","2","1","1","1","17498.07","1.167","auto","employed","north"
"40","36873.05","11","17212.4","20","4","0","1","0","1","12094.46","0.328","home_improvement","employed","north"
"62","54124.42","21","38411.32","42","2","0","1","1","0","39675.05","0.733","home_improvement","self_employed","north"
"22","38557.34","3","229.08","6","10","0","0","1","0","16966.4","0.44","personal","employed","south"
"54","74287.93","17","14670.8","31","1","0","1","1","0","22330.49","0.301","medical","employed","north"
"28","99945.93","4","18653.23","6","2","0","1","1","1","28605.9","0.286","home_improvement","retired","south"
"22","36467.71","3","6164.72","6","11","0","0","0","1","8888.5","0.244","personal","self_employed","north"
"45","43250.73","12","15339.92","22","6","0","0","0","0","22905.64","0.53","personal","unemployed","west"
"68","64708.97","12","4199.39","52","6","0","1","0","0","24116.53","0.373","home_improvement","employed","north"
"56","92222.32","10","31918.87","35","8","1","1","0","0","3311.18","0.036","education","retired","west"
"57","35552.51","6","6820.63","37","7","0","1","1","0","23790.45","0.669","business","employed","west"
"55","64980.72","3","39376.8","35","7","1","1","1","1","19313.57","0.297","medical","employed","east"
"58","96425.98","17","14610.31","34","1","1","1","1","1","21949.49","0.228","medical","student","west"
"44","26964.82","18","27336.64","20","7","0","0","0","0","20534.45","0.762","personal","student","west"
"24","34378.62","4","14360.37","6","4","0","0","0","1","23887.55","0.695","medical","employed","west"
"61","51527.87","5","14631.07","40","9","0","0","1","1","40060.15","0.777","home_improvement","employed","east"
"41","49588.23","12","7991.65","17","6","0","0","1","1","2307.39","0.047","home_improvement","employed","east"
"44","76252.03","5","16429.49","22","2","0","1","0","1","14867.71","0.195","education","unemployed","south"
"37","64833.19","16","18815.98","14","10","2","1","1","0","29999.28","0.463","personal","unemployed","east"
"27","24500.76","2","5588.9","8","4","0","0","1","1","27213.89","1.111","auto","employed","south"
"66","70308.21","28","13499.47","48","3","0","0","1","0","26891.08","0.382","auto","employed","north"
"58","48449.22","14","7678.81","38","11","0","1","0","1","61303.66","1.265","auto","self_employed","west"
"51","85488.94","20","42595.97","28","9","0","1","0","0","29212.03","0.342","education","self_employed","east"
"38","47448.25","8","13923.23","14","10","0","1","1","0","36964.07","0.779","home_improvement","employed","east"
"60","47267.69","29","33542.79","38","8","0","0","1","1","15393.92","0.326","personal","employed","south"
"46","70822.63","7","12652.53","24","11","4","1","0","1","5106.31","0.072","auto","retired","west"
"41","75258.53","18","18111.45","21","2","0","1","0","0","15285.24","0.203","personal","employed","east"
"41","68961.99","11","856.37","23","7","0","1","1","0","30679.4","0.445","medical","employed","north"
"29","26288.05","7","9635.13","10","4","0","1","0","0","26102.42","0.993","auto","self_employed","west"
"22","70760.69","3","17526.42","2","5","0","1","0","1","26048.77","0.368","business","employed","west"
"46","39313.84","25","34032.05","23","3","2","0","1","0","16784.83","0.427","auto","unemployed","west"
"64","64705.52","12","17663.79","44","3","2","0","0","1","14392.96","0.222","medical","self_employed","south"
"21","31525.31","0","31604.64","0","5","2","0","1","1","17302.14","0.549","personal","employed","north"
"62","68926.44","13","22688.75","46","11","0","1","1","1","30867.13","0.448","personal","employed","north"
"61","43868.02","13","34528.82","39","7","0","1","0","1","32610.91","0.743","personal","self_employed","east"
"32","34347.31","7","14291.49","12","4","1","0","0","1","4906.38","0.143","personal","employed","west"
"50","74276.4","28","43682.67","26","5","0","0","1","0","31435.14","0.423","medical","employed","north"
"26","64832.89","7","9175.25","6","6","0","0","1","1","10239.18","0.158","personal","employed","east"
"57","47720.46","20","5802.46","37","3","0","0","1","0","27033.82","0.567","education","employed","north"
"54","89023.58","22","479.37","37","6","0","1","0","1","17120.51","0.192","medical","retired","west"
"36","51186.95","14","42972.3","13","8","1","1","0","0","43486.83","0.85","business","self_employed","north"
"21","60642.15","2","24833.37","0","3","0","0","1","1","13728.88","0.226","business","unemployed","west"
"68","65378.27","13","10990.55","45","7","3","0","0","0","22679.18","0.347","personal","employed","north"
"41","47606.68","12","29988.27","25","8","0","1","1","0","29098.9","0.611","auto","employed","south"
"64","69422.73","35","23252.31","47","6","0","1","1","1","6890.62","0.099","home_improvement","retired","east"
"53","49330.95","11","38593.53","30","4","0","0","0","1","18907.14","0.383","medical","employed","west"
"58","51767.23","18","3573.99","42","7","0","0","1","0","16001.23","0.309","medical","unemployed","south"
"57","87252.85","34","11815.68","37","9","0","0","0","0","12292.8","0.141","auto","employed","west"
"28","39188.28","8","9449.74","9","3","0","0","0","1","13404.15","0.342","medical","employed","north"
"36","15000.0","14","8684.19","12","7","0","1","0","0","36680.22","2.445","education","employed","south"
"42","92218.74","17","27723.93","19","8","1","1","1","1","11021.74","0.12","medical","employed","west"
"43","110986.56","7","11755.24","19","4","0","1","1","0","28496.12","0.257","personal","employed","south"
"20","51894.61","0","23875.57","2","5","0","0","1","1","24718.93","0.476","personal","employed","east"
"46","21263.24","15","43317.26","25","10","0","0","0","1","954.7","0.045","education","employed","south"
"26","53790.32","4","10761.08","4","4","1","0","1","1","27787.54","0.517","education","employed","south"
"56","54275.54","19","9946.16","32","7","0","1","0","0","1202.7","0.022","medical","student","west"
"53","56201.52","21","16423.97","37","2","0","1","1","0","29421.38","0.523","personal","employed","east"
"65","37732.24","20","26846.97","41","11","0","0","0","0","12392.13","0.328","home_improvement","unemployed","east"
"56","71591.22","26","8199.44","37","7","0","1","0","0","20125.51","0.281","personal","employed","east"
"37","70490.15","6","7428.46","20","9","0","0","1","0","585.8","0.008","education","employed","west"
"68","30111.89","18","27686.27","47","7","0","1","0","0","21835.73","0.725","auto","employed","south"
"39","73983.93","4","19543.67","16","4","3","0","1","1","33904.26","0.458","personal","student","west"
"34","101053.7","4","9536.74","17","4","0","1","0","1","7895.52","0.078","education","self_employed","east"
"65","63439.21","36","295.3","49","8","0","1","0","0","10892.49","0.172","home_improvement","student","west"
"37","53253.5","8","33014.83","13","10","0","0","1","0","26819.32","0.504","education","employed","west"
"21","57159.94","0","19823.14","0","2","0","0","0","1","27194.27","0.476","education","self_employed","north"
"42","72305.14","16","5853.65","25","10","0","0","1","0","16512.69","0.228","personal","unemployed","south"
"59","25386.57","22","12955.08","35","10","0","0","0","1","50231.1","1.979","medical","retired","south"
"27","63287.81","1","15158.84","3","2","0","1","1","0","27928.3","0.441","business","employed","south"
"42","52190.72","8","23828.8","18","2","0","1","1","0","30453.78","0.584","home_improvement","retired","south"
"24","96956.5","1","1299.16","7","8","0","1","0","0","17846.89","0.184","auto","employed","north"
"53","56516.55","21","4908.61","32","10","2","0","0","0","7830.3","0.139","business","unemployed","west"
"42","93357.75","7","18275.47","18","5","0","1","1","1","30120.83","0.323","business","employed","west"
"35","37925.19","2","13801.99","11","8","0","0","1","0","11522.18","0.304","medical","employed","east"
"29","71745.18","1","21862.31","8","11","2","0","0","1","28158.98","0.392","home_improvement","employed","south"
"47","66388.01","16","245.91","30","4","1","1","0","0","16717.98","0.252","home_improvement","unemployed","west"
"52","42619.06","3","19285.54","36","3","0","0","0","1","23570.59","0.553","business","employed","south"
"66","63547.92","37","28099.0","48","11","1","1","0","0","8375.05","0.132","home_improvement","employed","south"
"40","84250.38","4","20841.82","24","4","0","0","0","1","32965.83","0.391","medical","employed","west"
"26","53524.17","4","16669.34","9","6","0","0","0","0","2174.31","0.041","personal","self_employed","west"
"61","26160.75","19","13849.4","45","5","1","1","1","0","53683.54","2.052","auto","employed","east"
"50","59648.74","14","4981.79","28","6","1","1","1","1","53569.23","0.898","medical","self_employed","north"
"54","41951.54","5","14136.02","33","3","0","1","0","0","44490.49","1.061","business","employed","north"
"23","53153.18","3","30116.47","3","8","0","0","1","1","39132.18","0.736","business","self_employed","west"
"34","58368.24","13","13571.66","11","8","0","0","1","0","18731.77","0.321","personal","self_employed","south"
"57","25886.96","4","4322.35","38","3","0","0","1","1","37498.2","1.449","home_improvement","self_employed","east"
"61","27686.83","10","9093.03","42","6","3","0","1","1","18557.35","0.67","medical","unemployed","south"
"40","69641.34","18","17410.2","23","1","0","1","1","0","3302.76","0.047","education","employed","south"
"59","49545.63","22","10517.83","39","3","0","0","1","1","42548.02","0.859","education","employed","west"
"61","15000.0","9","20823.64","44","11","0","0","0","0","36932.37","2.462","home_improvement","self_employed","east"
"38","75696.88","5","21274.13","17","6","0","0","0","0","19529.91","0.258","personal","employed","south"
"64","65447.4","28","25667.8","40","7","0","0","1","1","1622.24","0.025","home_improvement","employed","south"
"32","45722.5","9","32082.71","12","10","3","1","1","1","11206.99","0.245","auto","unemployed","north"
"30","33663.4","6","26950.3","12","8","0","1","0","1","7317.18","0.217","personal","employed","east"
"53","76716.16","30","3789.13","31","9","0","1","1","0","34176.21","0.445","personal","employed","east"
"51","66987.01","16","4157.59","28","8","0","1","0","0","4049.63","0.06","personal","retired","north"
"25","107652.05","2","14090.74","5","6","0","0","0","0","24302.46","0.226","business","employed","south"
"61","68403.77","20","9585.9","43","7","0","0","1","1","7344.6","0.107","auto","employed","east"
"28","67754.06","3","1340.08","6","4","0","1","1","1","1400.55","0.021","auto","employed","north"
"59","56661.44","11","9699.7","42","10","0","0","0","1","23575.33","0.416","personal","employed","west"
"18","76335.52","0","9305.84","0","2","0","1","1","1","14993.01","0.196","medical","self_employed","west"
"59","72501.7","15","6937.83","41","10","1","0","1","0","32572.84","0.449","personal","unemployed","east"
"58","85034.5","26","11210.53","39","10","0","0","0","1","985.92","0.012","medical","employed","north"
"58","49573.54","4","29141.41","36","2","0","0","0","1","8640.28","0.174","education","employed","east"
"52","51291.85","15","17390.86","36","8","0","0","1","1","15814.63","0.308","home_improvement","employed","west"
"42","50417.94","14","44661.71","25","11","0","1","1","0","12765.2","0.253","auto","employed","north"
"54","75816.03","21","17046.1","37","7","2","0","0","0","46972.89","0.62","business","self_employed","west"
"32","89967.49","10","11519.21","13","4","0","0","0","0","51253.97","0.57","personal","self_employed","west"
"58","50823.19","29","15049.59","38","10","0","0","0","1","21390.89","0.421","education","employed","north"
"46","51504.53","18","18077.9","29","6","0","0","1","1","7642.57","0.148","education","unemployed","north"
"41","66281.54","4","20223.05","22","2","2","1","1","1","15523.27","0.234","education","unemployed","east"
"44","55084.77","12","39920.54","22","3","0","1","1","0","33103.61","0.601","medical","employed","west"
"47","79041.07","16","4856.15","23","8","0","1","0","1","12284.16","0.155","home_improvement","self_employed","west"
"19","15000.0","0","25308.55","3","6","0","0","0","0","23564.51","1.571","business","self_employed","east"
"25","43465.9","0","17493.01","4","3","0","0","0","0","19808.66","0.456","auto","employed","east"
"30","44351.67","3","3853.17","14","9","1","0","0","1","11467.81","0.259","business","employed","east"
"23","15000.0","2","24248.39","3","2","0","0","0","1","12107.11","0.807","education","self_employed","east"
"40","40727.23","9","30211.48","17","3","0","1","1","0","24399.81","0.599","education","student","west"
"52","41696.88","8","4713.88","29","6","0","1","0","0","5346.68","0.128","medical","employed","north"
"52","55977.91","25","14892.79","34","1","1","1","0","1","26775.94","0.478","business","employed","north"
"42","82259.32","20","5704.25","24","5","0","0","0","0","12926.32","0.157","auto","self_employed","north"
"62","55098.79","11","105.68","39","11","0","0","1","0","21910.51","0.398","medical","employed","west"
"47","39383.73","24","27576.35","24","11","3","1","1","1","40759.44","1.035","education","employed","east"
"22","58860.91","0","9403.0","4","10","0","0","0","1","17477.12","0.297","personal","employed","north"
